placed_at_utc,bet_type,player_name,dg_id,market_book_best,market_odds_best_dec,stake_units,p_model,edge_prob,ev_per_unit,kelly_full,kelly_frac,result_win_flag,return_units
2026-02-11 20:37:51,Matchup 2-Ball,"Hoey, Rico",23504,pinnacle,1.833,21.9,0.625,0.0794462629569012,0.145625,0.17481992797118837,0.04370498199279709,,
2026-02-11 20:37:51,Matchup 2-Ball,"Morikawa, Collin",22085,unibet,1.90909,21.2,0.6045,0.0806902267572509,0.154044905,0.1694495649495651,0.04236239123739127,,
2026-02-11 20:37:51,Matchup 2-Ball,"Schauffele, Xander",19895,bet365,2.3,21.1,0.5303,0.0955173913043477,0.21968999999999994,0.16899230769230766,0.042248076923076916,,
2026-02-11 20:37:51,Matchup 2-Ball,"Morikawa, Collin",22085,pinnacle,1.9,19.8,0.6012,0.0748842105263157,0.14227999999999985,0.15808888888888886,0.039522222222222216,,
2026-02-11 20:37:51,Matchup 2-Ball,"Kim, Si Woo",14609,betmgm,1.8,19.7,0.6255,0.0699444444444443,0.1258999999999999,0.15737499999999988,0.03934374999999997,,
2026-02-11 20:37:51,Matchup 2-Ball,"Kim, Si Woo",14609,unibet,3.4,14.9,0.3783,0.0841823529411764,0.28622000000000014,0.1192583333333334,0.02981458333333335,,
2026-02-11 20:37:51,Matchup 2-Ball,"Berger, Daniel",17606,pinnacle,2.04,14.5,0.5494,0.0592039215686274,0.120776,0.11613076923076922,0.029032692307692304,,
2026-02-11 20:37:51,Matchup 2-Ball,"Rai, Aaron",18554,pinnacle,2.1,14.5,0.5369,0.0607095238095238,0.1274900000000001,0.11590000000000009,0.02897500000000002,,
2026-02-11 20:37:51,Matchup 2-Ball,"Theegala, Sahith",23014,bet365,2.05,14.4,0.547,0.0591951219512195,0.12134999999999996,0.11557142857142866,0.028892857142857165,,
2026-02-11 20:37:51,Matchup 2-Ball,"Cantlay, Patrick",15466,pinnacle,1.8,14.0,0.6054,0.0498444444444444,0.08972000000000013,0.11215000000000003,0.028037500000000007,,
2026-02-11 20:37:51,Matchup 2-Ball,"English, Harris",14577,bet365,2.15,13.1,0.5213,0.0561837209302325,0.12079499999999987,0.10503913043478261,0.026259782608695652,,
2026-02-11 20:37:51,Matchup 2-Ball,"Penge, Marco",22465,pinnacle,2.09,12.8,0.5317,0.0532311004784687,0.11125299999999982,0.10206697247706407,0.02551674311926602,,
2026-02-11 20:37:51,Matchup 2-Ball,"Spaun, J.J.",17536,bet365,2.15,12.7,0.5196,0.0544837209302325,0.1171399999999998,0.10186086956521723,0.025465217391304307,,
2026-02-11 20:37:51,Matchup 2-Ball,"Henley, Russell",14578,bet365,4.5,10.2,0.2854,0.0631777777777777,0.2842999999999999,0.08122857142857143,0.020307142857142857,,
2026-02-11 20:37:51,Matchup 2-Ball,"Berger, Daniel",17606,bet365,2.2,9.5,0.4961,0.0415545454545454,0.09142000000000006,0.07618333333333337,0.01904583333333334,,
2026-02-11 20:37:51,Top 20,"Hoey, Rico",23504,betway,4.33,7.4,0.2894952689642436,0.0585483867471535,0.2535145146151748,0.059366135504201896,0.014841533876050474,,
